,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,total_tests,new_tests,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,new_vaccinations
54010,2020-01-25,1.0,1.0,,,,,,,,,,,,
54011,2020-01-26,1.0,0.0,,,,,,,,,,,,
54012,2020-01-27,1.0,0.0,,,,,,,,,,,,
54013,2020-01-28,1.0,0.0,,,,,3.0,,,,tests performed,,,
54014,2020-01-29,1.0,0.0,,,,,4.0,1.0,,,tests performed,,,
54015,2020-01-30,1.0,0.0,,,,,5.0,1.0,,,tests performed,,,
54016,2020-01-31,1.0,0.0,,,,,,,,,tests performed,,,
54017,2020-02-01,1.0,0.0,,,,,,,,,tests performed,,,
54018,2020-02-02,1.0,0.0,,,,,,,,,tests performed,,,
54019,2020-02-03,1.0,0.0,,,,,,,,,tests performed,,,
54020,2020-02-04,1.0,0.0,,,,,14.0,,0.0,,tests performed,,,
54021,2020-02-05,1.0,0.0,,,,,,,0.0,,tests performed,,,
54022,2020-02-06,1.0,0.0,,,,,18.0,,0.0,,tests performed,,,
54023,2020-02-07,1.0,0.0,,,,,,,0.0,,tests performed,,,
54024,2020-02-08,1.0,0.0,,,,,,,0.0,,tests performed,,,
54025,2020-02-09,1.0,0.0,,,,,,,0.0,,tests performed,,,
54026,2020-02-10,1.0,0.0,,,,,,,0.0,,tests performed,,,
54027,2020-02-11,1.0,0.0,,,,,,,0.0,,tests performed,,,
54028,2020-02-12,1.0,0.0,,,,,20.0,,0.0,,tests performed,,,
54029,2020-02-13,1.0,0.0,,,,,24.0,4.0,0.0,,tests performed,,,
54030,2020-02-14,1.0,0.0,,,,,,,0.0,,tests performed,,,
54031,2020-02-15,1.0,0.0,,,,,,,0.0,,tests performed,,,
54032,2020-02-16,1.0,0.0,,,,,34.0,,0.0,,tests performed,,,
54033,2020-02-17,1.0,0.0,,,,,,,0.0,,tests performed,,,
54034,2020-02-18,1.0,0.0,,,,,35.0,,0.0,,tests performed,,,
54035,2020-02-19,1.0,0.0,,,,,210.0,175.0,0.0,,tests performed,,,
54036,2020-02-20,1.0,0.0,,,,,212.0,2.0,0.0,,tests performed,,,
54037,2020-02-21,1.0,0.0,,,,,,,0.0,,tests performed,,,
54038,2020-02-22,1.0,0.0,,,,,,,0.0,,tests performed,,,
54039,2020-02-23,1.0,0.0,,,,,216.0,,0.0,,tests performed,,,
54040,2020-02-24,1.0,0.0,,,,,217.0,1.0,0.0,,tests performed,,,
54041,2020-02-25,1.0,0.0,,,,,221.0,4.0,0.0,,tests performed,,,
54042,2020-02-26,1.0,0.0,,,,,222.0,1.0,0.0,,tests performed,,,
54043,2020-02-27,1.0,0.0,,,,,,,0.0,,tests performed,,,
54044,2020-02-28,1.0,0.0,,,,,224.0,,0.0,,tests performed,,,
54045,2020-02-29,1.0,0.0,,,,,,,0.0,,tests performed,,,
54046,2020-03-01,1.0,0.0,,,,,243.0,,0.0,,tests performed,,,
54047,2020-03-02,1.0,0.0,,,,,425.0,182.0,0.0,,tests performed,,,
54048,2020-03-03,1.0,0.0,,,,,433.0,8.0,0.0,,tests performed,,,
54049,2020-03-04,1.0,0.0,,,,,,,0.0,,tests performed,,,
54050,2020-03-05,1.0,0.0,,,,,,,0.0,,tests performed,,,
54051,2020-03-06,1.0,0.0,,,,,437.0,,0.0,,tests performed,,,
54052,2020-03-07,1.0,0.0,,,,,,,0.0,,tests performed,,,
54053,2020-03-08,1.0,0.0,,,,,,,0.0,,tests performed,,,
54054,2020-03-09,1.0,0.0,,,,,,,0.0,,tests performed,,,
54055,2020-03-10,1.0,0.0,,,,,445.0,,0.0,,tests performed,,,
54056,2020-03-11,1.0,0.0,,,,,447.0,2.0,0.0,,tests performed,,,
54057,2020-03-12,1.0,0.0,,,,,450.0,3.0,0.0,,tests performed,,,
54058,2020-03-13,1.0,0.0,,,,,456.0,6.0,0.0,,tests performed,,,
54059,2020-03-14,1.0,0.0,,,,,,,0.0,,tests performed,,,
54060,2020-03-15,1.0,0.0,,,,,467.0,,0.0,,tests performed,,,
54061,2020-03-16,1.0,0.0,,,,,478.0,11.0,0.0,,tests performed,,,
54062,2020-03-17,1.0,0.0,,,,,496.0,18.0,0.0,,tests performed,,,
54063,2020-03-18,1.0,0.0,,,,,512.0,16.0,0.0,,tests performed,,,
54064,2020-03-19,1.0,0.0,,,,,529.0,17.0,0.0,,tests performed,,,
54065,2020-03-20,1.0,0.0,,,,,546.0,17.0,0.0,,tests performed,,,
54066,2020-03-21,1.0,0.0,,,,,,,0.0,,tests performed,,,
54067,2020-03-22,1.0,0.0,,,,,572.0,,0.0,,tests performed,,,
54068,2020-03-23,2.0,1.0,,,,,609.0,37.0,0.008,132.9,tests performed,,,
54069,2020-03-24,2.0,0.0,,,,,610.0,1.0,0.009,111.9,tests performed,,,
54070,2020-03-25,3.0,1.0,,,,,687.0,77.0,0.011,87.4,tests performed,,,
54071,2020-03-26,3.0,0.0,,,,,758.0,71.0,0.009,115.4,tests performed,,,
54072,2020-03-27,4.0,1.0,,,,,802.0,44.0,0.012,86.2,tests performed,,,
54073,2020-03-28,5.0,1.0,,,,,875.0,73.0,0.013,78.8,tests performed,,,
54074,2020-03-29,5.0,0.0,,,,,917.0,42.0,0.012,85.8,tests performed,,,
54075,2020-03-30,5.0,0.0,,,,,993.0,76.0,0.008,128.2,tests performed,,,
54076,2020-03-31,5.0,0.0,,,,,1060.0,67.0,0.007,149.2,tests performed,,,
54077,2020-04-01,5.0,0.0,,,,,1145.0,85.0,0.004,227.3,tests performed,,,
54078,2020-04-02,6.0,1.0,,,,,1185.0,40.0,0.007,142.2,tests performed,,,
54079,2020-04-03,6.0,0.0,,,,,1308.0,123.0,0.004,251.7,tests performed,,,
54080,2020-04-04,9.0,3.0,,,,,1521.0,213.0,0.006,161.1,tests performed,,,
54081,2020-04-05,9.0,0.0,,,,,1642.0,121.0,0.005,182.1,tests performed,,,
54082,2020-04-06,9.0,0.0,,,,,1890.0,248.0,0.004,224.2,tests performed,,,
54083,2020-04-07,9.0,0.0,,,,,2122.0,232.0,0.004,266.2,tests performed,,,
